id,name,start_date,end_date,replaces,replaced_by
Q5586304,"William Bridgeman, 1st Viscount Bridgeman",1920-08-22,1922-11-06,,Q5541526
Q5541526,"George Lane-Fox, 1st Baron Bingley",1922-11-06,1924-01-23,Q5586304,Q333582
Q333582,"Manny Shinwell, Baron Shinwell",1924-01-23,1924-11-11,Q5541526,Q5541526
Q5541526,"George Lane-Fox, 1st Baron Bingley",1924-11-11,1928-01-13,Q333582,Q5301689
Q5301689,Douglas King (Conservative politician),1928-01-13,1929-06-01,Q5541526,Q4886592
Q4886592,Ben Turner (politician),1929-06-01,1930-06-05,Q5301689,Q333582
Q333582,"Manny Shinwell, Baron Shinwell",1930-06-05,1931-09-03,Q4886592,Q6076320
Q6076320,Isaac Foot,1931-09-03,1932-09-30,Q333582,Q5392836
Q5392836,Ernest Brown (MP),1932-09-30,1935-06-18,Q6076320,Q333345
Q333345,Harry Crookshank,1935-06-18,1939-04-21,Q5392836,Q3101091
Q3101091,"Geoffrey Lloyd, Baron Geoffrey-Lloyd",1939-04-21,1940-05-15,Q333345,Q5234398
Q5234398,David Grenfell,1940-05-15,1945,Q3101091,
